char_id	word	n	log_odds_weighted	rank	d	play_short_name
B17	s	1546	5.297570176655975	1	192.1984542059298	arnold-der-pfingstmontag
B17	der	1546	5.075796100071345	2	192.1984542059298	arnold-der-pfingstmontag
B17	un	1546	4.821342567369477	3	192.1984542059298	arnold-der-pfingstmontag
B17	merkt	1546	4.6399153241838915	4	192.1984542059298	arnold-der-pfingstmontag
B17	schwär	1546	4.6399153241838915	5	192.1984542059298	arnold-der-pfingstmontag
B17	soldners	1546	4.6399153241838915	6	192.1984542059298	arnold-der-pfingstmontag
B17	er	1546	4.2799604770229145	7	192.1984542059298	arnold-der-pfingstmontag
B17	stadttrumpeeders	1546	4.202430672212657	8	192.1984542059298	arnold-der-pfingstmontag
B17	dick	1546	4.068846326555181	9	192.1984542059298	arnold-der-pfingstmontag
B17	honnedde	1546	4.0003888239392404	10	192.1984542059298	arnold-der-pfingstmontag
B17	krazzeberjer	1546	4.0003888239392404	11	192.1984542059298	arnold-der-pfingstmontag
B17	rache	1546	4.0003888239392404	12	192.1984542059298	arnold-der-pfingstmontag
B17	pfedderle	1546	3.9307440733080594	13	192.1984542059298	arnold-der-pfingstmontag
B17	respekt	1546	3.9307440733080594	14	192.1984542059298	arnold-der-pfingstmontag
B17	zaum	1546	3.9307440733080594	15	192.1984542059298	arnold-der-pfingstmontag
B17	duet	1546	3.886260470914543	16	192.1984542059298	arnold-der-pfingstmontag
B17	dundert	1546	3.8598478088585515	17	192.1984542059298	arnold-der-pfingstmontag
B17	hyps	1546	3.8598478088585515	18	192.1984542059298	arnold-der-pfingstmontag
B17	mange	1546	3.8598478088585515	19	192.1984542059298	arnold-der-pfingstmontag
B17	rainlecht	1546	3.8598478088585515	20	192.1984542059298	arnold-der-pfingstmontag
B17	salvede	1546	3.8598478088585515	21	192.1984542059298	arnold-der-pfingstmontag
B17	saubohnestroh	1546	3.8598478088585515	22	192.1984542059298	arnold-der-pfingstmontag
B17	wüestel	1546	3.8598478088585515	23	192.1984542059298	arnold-der-pfingstmontag
B17	wie	1546	3.8250474377568127	24	192.1984542059298	arnold-der-pfingstmontag
B17	blindegaß	1546	3.7876297539216393	25	192.1984542059298	arnold-der-pfingstmontag
B17	estemiert	1546	3.7876297539216393	26	192.1984542059298	arnold-der-pfingstmontag
B17	hänselt	1546	3.7876297539216393	27	192.1984542059298	arnold-der-pfingstmontag
B17	noocherslyt	1546	3.7876297539216393	28	192.1984542059298	arnold-der-pfingstmontag
B17	noochkumme	1546	3.7876297539216393	29	192.1984542059298	arnold-der-pfingstmontag
B17	schlukker	1546	3.7876297539216393	30	192.1984542059298	arnold-der-pfingstmontag
B17	usgepflekt	1546	3.7876297539216393	31	192.1984542059298	arnold-der-pfingstmontag
B17	verdrähje	1546	3.7876297539216393	32	192.1984542059298	arnold-der-pfingstmontag
B17	beddelvögt	1546	3.7140128032301423	33	192.1984542059298	arnold-der-pfingstmontag
B17	dischduech	1546	3.7140128032301423	34	192.1984542059298	arnold-der-pfingstmontag
B17	drowwe	1546	3.7140128032301423	35	192.1984542059298	arnold-der-pfingstmontag
B17	geschriwwe	1546	3.7140128032301423	36	192.1984542059298	arnold-der-pfingstmontag
B17	gsundheit	1546	3.7140128032301423	37	192.1984542059298	arnold-der-pfingstmontag
B17	hahne	1546	3.7140128032301423	38	192.1984542059298	arnold-der-pfingstmontag
B17	krutthowwler	1546	3.7140128032301423	39	192.1984542059298	arnold-der-pfingstmontag
B17	stük	1546	3.7140128032301423	40	192.1984542059298	arnold-der-pfingstmontag
B17	traweddelt	1546	3.7140128032301423	41	192.1984542059298	arnold-der-pfingstmontag
B17	glänze	1546	3.6389120563471815	42	192.1984542059298	arnold-der-pfingstmontag
B17	huusdüer	1546	3.6389120563471815	43	192.1984542059298	arnold-der-pfingstmontag
B17	juxt	1546	3.6389120563471815	44	192.1984542059298	arnold-der-pfingstmontag
B17	kiefer	1546	3.6389120563471815	45	192.1984542059298	arnold-der-pfingstmontag
B17	knollfink	1546	3.6389120563471815	46	192.1984542059298	arnold-der-pfingstmontag
B17	leßt	1546	3.6389120563471815	47	192.1984542059298	arnold-der-pfingstmontag
B17	mollekopf	1546	3.6389120563471815	48	192.1984542059298	arnold-der-pfingstmontag
B17	sinner	1546	3.6389120563471815	49	192.1984542059298	arnold-der-pfingstmontag
B17	stattli’s	1546	3.6389120563471815	50	192.1984542059298	arnold-der-pfingstmontag
C7	gspräch	2542	4.357123543591545	1	157.01910501880997	arnold-der-pfingstmontag
C7	wärd	2542	3.9679829121437353	2	157.01910501880997	arnold-der-pfingstmontag
C7	maauer	2542	3.965696506949328	3	157.01910501880997	arnold-der-pfingstmontag
C7	stubb	2542	3.965696506949328	4	157.01910501880997	arnold-der-pfingstmontag
C7	un	2542	3.9285385560115813	5	157.01910501880997	arnold-der-pfingstmontag
C7	offezier	2542	3.7547797207202462	6	157.01910501880997	arnold-der-pfingstmontag
C7	ale	2542	3.4536544581865263	7	157.01910501880997	arnold-der-pfingstmontag
C7	schik	2542	3.4536544581865263	8	157.01910501880997	arnold-der-pfingstmontag
C7	begrawe	2542	3.2928156632134615	9	157.01910501880997	arnold-der-pfingstmontag
C7	gschichts	2542	3.2928156632134615	10	157.01910501880997	arnold-der-pfingstmontag
C7	stik	2542	3.2928156632134615	11	157.01910501880997	arnold-der-pfingstmontag
C7	stundlang	2542	3.2928156632134615	12	157.01910501880997	arnold-der-pfingstmontag
C7	do	2542	3.271913540463065	13	157.01910501880997	arnold-der-pfingstmontag
C7	ieneds	2542	3.2093838337089498	14	157.01910501880997	arnold-der-pfingstmontag
C7	leweslang	2542	3.2093838337089498	15	157.01910501880997	arnold-der-pfingstmontag
C7	schwei	2542	3.2093838337089498	16	157.01910501880997	arnold-der-pfingstmontag
C7	ufsezze	2542	3.2093838337089498	17	157.01910501880997	arnold-der-pfingstmontag
C7	merr	2542	3.207967460469921	18	157.01910501880997	arnold-der-pfingstmontag
C7	jo	2542	3.1616013519495034	19	157.01910501880997	arnold-der-pfingstmontag
C7	barrikkestok	2542	3.1237304562289463	20	157.01910501880997	arnold-der-pfingstmontag
C7	bukke	2542	3.1237304562289463	21	157.01910501880997	arnold-der-pfingstmontag
C7	dreiguldestük	2542	3.1237304562289463	22	157.01910501880997	arnold-der-pfingstmontag
C7	erummer	2542	3.1237304562289463	23	157.01910501880997	arnold-der-pfingstmontag
C7	fritsch	2542	3.1237304562289463	24	157.01910501880997	arnold-der-pfingstmontag
C7	gewähre	2542	3.1237304562289463	25	157.01910501880997	arnold-der-pfingstmontag
C7	mifzt	2542	3.1237304562289463	26	157.01910501880997	arnold-der-pfingstmontag
C7	prinz	2542	3.1237304562289463	27	157.01910501880997	arnold-der-pfingstmontag
C7	ranzi	2542	3.1237304562289463	28	157.01910501880997	arnold-der-pfingstmontag
C7	brotst	2542	3.0356674887340205	29	157.01910501880997	arnold-der-pfingstmontag
C7	bruemt	2542	3.0356674887340205	30	157.01910501880997	arnold-der-pfingstmontag
C7	bruk	2542	3.0356674887340205	31	157.01910501880997	arnold-der-pfingstmontag
C7	durchgstuddierdi	2542	3.0356674887340205	32	157.01910501880997	arnold-der-pfingstmontag
C7	gescheid	2542	3.0356674887340205	33	157.01910501880997	arnold-der-pfingstmontag
C7	glänzt	2542	3.0356674887340205	34	157.01910501880997	arnold-der-pfingstmontag
C7	gschliffe	2542	3.0356674887340205	35	157.01910501880997	arnold-der-pfingstmontag
C7	gschwacht	2542	3.0356674887340205	36	157.01910501880997	arnold-der-pfingstmontag
C7	kädderyne	2542	3.0356674887340205	37	157.01910501880997	arnold-der-pfingstmontag
C7	laids	2542	3.0356674887340205	38	157.01910501880997	arnold-der-pfingstmontag
C7	pfleckt	2542	3.0356674887340205	39	157.01910501880997	arnold-der-pfingstmontag
C7	schmuerel	2542	3.0356674887340205	40	157.01910501880997	arnold-der-pfingstmontag
C7	verdutsche	2542	3.0356674887340205	41	157.01910501880997	arnold-der-pfingstmontag
C7	waisekind	2542	3.0356674887340205	42	157.01910501880997	arnold-der-pfingstmontag
C7	büecherlese	2542	2.94497877852773	43	157.01910501880997	arnold-der-pfingstmontag
C7	flachs	2542	2.94497877852773	44	157.01910501880997	arnold-der-pfingstmontag
C7	gewinnt	2542	2.94497877852773	45	157.01910501880997	arnold-der-pfingstmontag
C7	gsang	2542	2.94497877852773	46	157.01910501880997	arnold-der-pfingstmontag
C7	haße	2542	2.94497877852773	47	157.01910501880997	arnold-der-pfingstmontag
C7	klöbfelt	2542	2.94497877852773	48	157.01910501880997	arnold-der-pfingstmontag
C7	langi	2542	2.94497877852773	49	157.01910501880997	arnold-der-pfingstmontag
C7	lut	2542	2.94497877852773	50	157.01910501880997	arnold-der-pfingstmontag
F10	isch	1572	7.718833548435055	1	192.85132693048703	arnold-der-pfingstmontag
F10	schalde	1572	4.921620245389673	2	192.85132693048703	arnold-der-pfingstmontag
F10	e	1572	4.644921702923652	3	192.85132693048703	arnold-der-pfingstmontag
F10	s	1572	4.291100189962017	4	192.85132693048703	arnold-der-pfingstmontag
F10	si	1572	4.240821089966129	5	192.85132693048703	arnold-der-pfingstmontag
F10	diß	1572	4.1991055005737525	6	192.85132693048703	arnold-der-pfingstmontag
F10	au	1572	4.190890192229097	7	192.85132693048703	arnold-der-pfingstmontag
F10	jehmer	1572	4.109964298208787	8	192.85132693048703	arnold-der-pfingstmontag
F10	sohn	1572	4.050976521897904	9	192.85132693048703	arnold-der-pfingstmontag
F10	geldsäkwurrjer	1572	4.040815325260958	10	192.85132693048703	arnold-der-pfingstmontag
F10	händle	1572	4.040815325260958	11	192.85132693048703	arnold-der-pfingstmontag
F10	frau	1572	4.021881258879249	12	192.85132693048703	arnold-der-pfingstmontag
F10	brode	1572	3.970467094953524	13	192.85132693048703	arnold-der-pfingstmontag
F10	bruttfüerer	1572	3.970467094953524	14	192.85132693048703	arnold-der-pfingstmontag
F10	ferdi	1572	3.970467094953524	15	192.85132693048703	arnold-der-pfingstmontag
F10	kamel	1572	3.970467094953524	16	192.85132693048703	arnold-der-pfingstmontag
F10	spizzekrämer	1572	3.970467094953524	17	192.85132693048703	arnold-der-pfingstmontag
F10	het	1572	3.899628768663473	18	192.85132693048703	arnold-der-pfingstmontag
F10	bebbe	1572	3.8988546917312488	19	192.85132693048703	arnold-der-pfingstmontag
F10	däjli	1572	3.8988546917312488	20	192.85132693048703	arnold-der-pfingstmontag
F10	gsorrjt	1572	3.8988546917312488	21	192.85132693048703	arnold-der-pfingstmontag
F10	scheens	1572	3.8988546917312488	22	192.85132693048703	arnold-der-pfingstmontag
F10	wenjer	1572	3.8988546917312488	23	192.85132693048703	arnold-der-pfingstmontag
F10	berle	1572	3.825907128406525	24	192.85132693048703	arnold-der-pfingstmontag
F10	gyzzi	1572	3.825907128406525	25	192.85132693048703	arnold-der-pfingstmontag
F10	met	1572	3.825907128406525	26	192.85132693048703	arnold-der-pfingstmontag
F10	ringserum	1572	3.825907128406525	27	192.85132693048703	arnold-der-pfingstmontag
F10	ales	1572	3.7515465201607023	28	192.85132693048703	arnold-der-pfingstmontag
F10	flyssi	1572	3.7515465201607023	29	192.85132693048703	arnold-der-pfingstmontag
F10	glückli	1572	3.7515465201607023	30	192.85132693048703	arnold-der-pfingstmontag
F10	hinderschi	1572	3.7515465201607023	31	192.85132693048703	arnold-der-pfingstmontag
F10	käsbabbyr	1572	3.7515465201607023	32	192.85132693048703	arnold-der-pfingstmontag
F10	lustjer	1572	3.7515465201607023	33	192.85132693048703	arnold-der-pfingstmontag
F10	niemole	1572	3.7515465201607023	34	192.85132693048703	arnold-der-pfingstmontag
F10	niggern	1572	3.7515465201607023	35	192.85132693048703	arnold-der-pfingstmontag
F10	reljion	1572	3.7515465201607023	36	192.85132693048703	arnold-der-pfingstmontag
F10	scheenste	1572	3.7515465201607023	37	192.85132693048703	arnold-der-pfingstmontag
F10	sundaa’s	1572	3.7515465201607023	38	192.85132693048703	arnold-der-pfingstmontag
F10	vergryffe	1572	3.7515465201607023	39	192.85132693048703	arnold-der-pfingstmontag
F10	wyddelt	1572	3.7515465201607023	40	192.85132693048703	arnold-der-pfingstmontag
F10	anheere	1572	3.675687108201555	41	192.85132693048703	arnold-der-pfingstmontag
F10	dowe	1572	3.675687108201555	42	192.85132693048703	arnold-der-pfingstmontag
F10	dußle	1572	3.675687108201555	43	192.85132693048703	arnold-der-pfingstmontag
F10	d’kinder	1572	3.675687108201555	44	192.85132693048703	arnold-der-pfingstmontag
F10	gebroffediert	1572	3.675687108201555	45	192.85132693048703	arnold-der-pfingstmontag
F10	gsengelt	1572	3.675687108201555	46	192.85132693048703	arnold-der-pfingstmontag
F10	kain’s	1572	3.675687108201555	47	192.85132693048703	arnold-der-pfingstmontag
F10	kauft	1572	3.675687108201555	48	192.85132693048703	arnold-der-pfingstmontag
F10	mann’s	1572	3.675687108201555	49	192.85132693048703	arnold-der-pfingstmontag
F10	nodelehr	1572	3.675687108201555	50	192.85132693048703	arnold-der-pfingstmontag
F4	s	4076	4.667301092221926	1	140.1314423299249	arnold-der-pfingstmontag
F4	un	4076	4.127355799641126	2	140.1314423299249	arnold-der-pfingstmontag
F4	zähn	4076	4.005265234267602	3	140.1314423299249	arnold-der-pfingstmontag
F4	si	4076	3.539033644655205	4	140.1314423299249	arnold-der-pfingstmontag
F4	jowort	4076	3.269688027349246	5	140.1314423299249	arnold-der-pfingstmontag
F4	klaoue	4076	3.1868394679302594	6	140.1314423299249	arnold-der-pfingstmontag
F4	verkrache	4076	3.1868394679302594	7	140.1314423299249	arnold-der-pfingstmontag
F4	ynfäll	4076	3.1868394679302594	8	140.1314423299249	arnold-der-pfingstmontag
F4	do	4076	3.153427071328072	9	140.1314423299249	arnold-der-pfingstmontag
F4	verblemble	4076	3.101785109618086	10	140.1314423299249	arnold-der-pfingstmontag
F4	lad	4076	3.0143382372515117	11	140.1314423299249	arnold-der-pfingstmontag
F4	schleejel	4076	3.0143382372515117	12	140.1314423299249	arnold-der-pfingstmontag
F4	anrüert	4076	2.8313743113908383	13	140.1314423299249	arnold-der-pfingstmontag
F4	bschwere	4076	2.8313743113908383	14	140.1314423299249	arnold-der-pfingstmontag
F4	gstunse	4076	2.8313743113908383	15	140.1314423299249	arnold-der-pfingstmontag
F4	halbstund	4076	2.8313743113908383	16	140.1314423299249	arnold-der-pfingstmontag
F4	kaufe	4076	2.8313743113908383	17	140.1314423299249	arnold-der-pfingstmontag
F4	laufe	4076	2.8313743113908383	18	140.1314423299249	arnold-der-pfingstmontag
F4	nuppe	4076	2.8313743113908383	19	140.1314423299249	arnold-der-pfingstmontag
F4	spootjohr	4076	2.8313743113908383	20	140.1314423299249	arnold-der-pfingstmontag
F4	wetterlynisch	4076	2.8313743113908383	21	140.1314423299249	arnold-der-pfingstmontag
F4	zix	4076	2.8313743113908383	22	140.1314423299249	arnold-der-pfingstmontag
F4	was	4076	2.7805497517209155	23	140.1314423299249	arnold-der-pfingstmontag
F4	brett	4076	2.7353174998404364	24	140.1314423299249	arnold-der-pfingstmontag
F4	fremdi	4076	2.7353174998404364	25	140.1314423299249	arnold-der-pfingstmontag
F4	hochzytlyt	4076	2.7353174998404364	26	140.1314423299249	arnold-der-pfingstmontag
F4	klaidel	4076	2.7353174998404364	27	140.1314423299249	arnold-der-pfingstmontag
F4	kramme	4076	2.7353174998404364	28	140.1314423299249	arnold-der-pfingstmontag
F4	nuß	4076	2.7353174998404364	29	140.1314423299249	arnold-der-pfingstmontag
F4	schläje	4076	2.7353174998404364	30	140.1314423299249	arnold-der-pfingstmontag
F4	verschlenze	4076	2.7353174998404364	31	140.1314423299249	arnold-der-pfingstmontag
F4	geld	4076	2.6930952956315397	32	140.1314423299249	arnold-der-pfingstmontag
F4	armbrüst	4076	2.635769757748284	33	140.1314423299249	arnold-der-pfingstmontag
F4	fange	4076	2.635769757748284	34	140.1314423299249	arnold-der-pfingstmontag
F4	grille	4076	2.635769757748284	35	140.1314423299249	arnold-der-pfingstmontag
F4	gspüerst	4076	2.635769757748284	36	140.1314423299249	arnold-der-pfingstmontag
F4	iwwereggs	4076	2.635769757748284	37	140.1314423299249	arnold-der-pfingstmontag
F4	nestersueche	4076	2.635769757748284	38	140.1314423299249	arnold-der-pfingstmontag
F4	wechselt	4076	2.635769757748284	39	140.1314423299249	arnold-der-pfingstmontag
F4	werdaa	4076	2.635769757748284	40	140.1314423299249	arnold-der-pfingstmontag
F4	wyttem	4076	2.635769757748284	41	140.1314423299249	arnold-der-pfingstmontag
F4	daß	4076	2.627535500697116	42	140.1314423299249	arnold-der-pfingstmontag
F4	n	4076	2.5325742880027744	43	140.1314423299249	arnold-der-pfingstmontag
F4	aaschüdde	4076	2.532319423114159	44	140.1314423299249	arnold-der-pfingstmontag
F4	dinte	4076	2.532319423114159	45	140.1314423299249	arnold-der-pfingstmontag
F4	d’händ	4076	2.532319423114159	46	140.1314423299249	arnold-der-pfingstmontag
F4	gnik	4076	2.532319423114159	47	140.1314423299249	arnold-der-pfingstmontag
F4	gsich	4076	2.532319423114159	48	140.1314423299249	arnold-der-pfingstmontag
F4	gspraddel	4076	2.532319423114159	49	140.1314423299249	arnold-der-pfingstmontag
F4	maise	4076	2.532319423114159	50	140.1314423299249	arnold-der-pfingstmontag
G16	wee	1535	16.93542140660946	1	312.21454602445704	arnold-der-pfingstmontag
G16	ä	1535	14.740604513539484	2	312.21454602445704	arnold-der-pfingstmontag
G16	är	1535	11.815372294368572	3	312.21454602445704	arnold-der-pfingstmontag
G16	där	1535	11.269659266814934	4	312.21454602445704	arnold-der-pfingstmontag
G16	see	1535	9.043725114441543	5	312.21454602445704	arnold-der-pfingstmontag
G16	rächt	1535	8.702424300592144	6	312.21454602445704	arnold-der-pfingstmontag
G16	üss	1535	8.220825225587417	7	312.21454602445704	arnold-der-pfingstmontag
G16	norr	1535	8.187730335475257	8	312.21454602445704	arnold-der-pfingstmontag
G16	aer	1535	8.054014923792067	9	312.21454602445704	arnold-der-pfingstmontag
G16	zäll	1535	7.883737023450093	10	312.21454602445704	arnold-der-pfingstmontag
G16	ka	1535	7.6390799580863655	11	312.21454602445704	arnold-der-pfingstmontag
G16	vo	1535	7.423059771200576	12	312.21454602445704	arnold-der-pfingstmontag
G16	sähn	1535	7.010010794784649	13	312.21454602445704	arnold-der-pfingstmontag
G16	n	1535	6.838952061858788	14	312.21454602445704	arnold-der-pfingstmontag
G16	epper	1535	6.734163054756655	15	312.21454602445704	arnold-der-pfingstmontag
G16	dänn	1535	6.488510342227654	16	312.21454602445704	arnold-der-pfingstmontag
G16	sy	1535	6.488510342227654	17	312.21454602445704	arnold-der-pfingstmontag
G16	word	1535	6.488510342227654	18	312.21454602445704	arnold-der-pfingstmontag
G16	wän	1535	6.446668652694379	19	312.21454602445704	arnold-der-pfingstmontag
G16	gloib	1535	6.362168852339996	20	312.21454602445704	arnold-der-pfingstmontag
G16	gwiß	1535	6.319499824430539	21	312.21454602445704	arnold-der-pfingstmontag
G16	oi	1535	6.1897467713942875	22	312.21454602445704	arnold-der-pfingstmontag
G16	saaje	1535	6.1897467713942875	23	312.21454602445704	arnold-der-pfingstmontag
G16	i	1535	6.149006020681672	24	312.21454602445704	arnold-der-pfingstmontag
G16	nor	1535	5.921805140975735	25	312.21454602445704	arnold-der-pfingstmontag
G16	dry	1535	5.875971892127438	26	312.21454602445704	arnold-der-pfingstmontag
G16	froi	1535	5.829781609245064	27	312.21454602445704	arnold-der-pfingstmontag
G16	klärle	1535	5.346170913664907	28	312.21454602445704	arnold-der-pfingstmontag
G16	aengel	1535	5.140106356330588	29	312.21454602445704	arnold-der-pfingstmontag
G16	o	1535	5.048638729064542	30	312.21454602445704	arnold-der-pfingstmontag
G16	gän	1535	5.033934678893383	31	312.21454602445704	arnold-der-pfingstmontag
G16	bizzle	1535	4.980005858282441	32	312.21454602445704	arnold-der-pfingstmontag
G16	drobe	1535	4.92549050084718	33	312.21454602445704	arnold-der-pfingstmontag
G16	hän	1535	4.901446888211852	34	312.21454602445704	arnold-der-pfingstmontag
G16	jä	1535	4.814620265076405	35	312.21454602445704	arnold-der-pfingstmontag
G16	üebel	1535	4.814620265076405	36	312.21454602445704	arnold-der-pfingstmontag
G16	erkle	1535	4.758222524023197	37	312.21454602445704	arnold-der-pfingstmontag
G16	dän	1535	4.701152326291879	38	312.21454602445704	arnold-der-pfingstmontag
G16	by	1535	4.657849028864433	39	312.21454602445704	arnold-der-pfingstmontag
G16	bärgg	1535	4.643384876829331	40	312.21454602445704	arnold-der-pfingstmontag
G16	glehrdi	1535	4.643384876829331	41	312.21454602445704	arnold-der-pfingstmontag
G16	worr	1535	4.643384876829331	42	312.21454602445704	arnold-der-pfingstmontag
G16	maa	1535	4.584893820261777	43	312.21454602445704	arnold-der-pfingstmontag
G16	räwe	1535	4.525651099893964	44	312.21454602445704	arnold-der-pfingstmontag
G16	däm	1535	4.404788968127182	45	312.21454602445704	arnold-der-pfingstmontag
G16	schwyge	1535	4.34310341671749	46	312.21454602445704	arnold-der-pfingstmontag
G16	dee	1535	4.153110302889957	47	312.21454602445704	arnold-der-pfingstmontag
G16	ae	1535	4.1525800824269625	48	312.21454602445704	arnold-der-pfingstmontag
G16	lustigg	1535	4.1525800824269625	49	312.21454602445704	arnold-der-pfingstmontag
G16	no	1535	4.1288587651557975	50	312.21454602445704	arnold-der-pfingstmontag
H11	d	4493	4.707031361255932	1	151.9213253652625	arnold-der-pfingstmontag
H11	maistergsang	4493	4.522067945758431	2	151.9213253652625	arnold-der-pfingstmontag
H11	prokkrader	4493	3.9654593487766063	3	151.9213253652625	arnold-der-pfingstmontag
H11	dail	4493	3.8987365099585043	4	151.9213253652625	arnold-der-pfingstmontag
H11	fresse	4493	3.8987365099585043	5	151.9213253652625	arnold-der-pfingstmontag
H11	schwarm	4493	3.830856757738142	6	151.9213253652625	arnold-der-pfingstmontag
H11	bech	4493	3.546423254334726	7	151.9213253652625	arnold-der-pfingstmontag
H11	judd	4493	3.3953168622947127	8	151.9213253652625	arnold-der-pfingstmontag
H11	schnuuft	4493	3.3953168622947127	9	151.9213253652625	arnold-der-pfingstmontag
H11	zarde	4493	3.3953168622947127	10	151.9213253652625	arnold-der-pfingstmontag
H11	jez	4493	3.3529118965323037	11	151.9213253652625	arnold-der-pfingstmontag
H11	haile	4493	3.317192156958259	12	151.9213253652625	arnold-der-pfingstmontag
H11	maist	4493	3.317192156958259	13	151.9213253652625	arnold-der-pfingstmontag
H11	e	4493	3.266107167803146	14	151.9213253652625	arnold-der-pfingstmontag
H11	away	4493	3.23718853137177	15	151.9213253652625	arnold-der-pfingstmontag
H11	drey	4493	3.23718853137177	16	151.9213253652625	arnold-der-pfingstmontag
H11	flieje	4493	3.23718853137177	17	151.9213253652625	arnold-der-pfingstmontag
H11	dikki	4493	3.0709537361216284	18	151.9213253652625	arnold-der-pfingstmontag
H11	er’s	4493	3.0709537361216284	19	151.9213253652625	arnold-der-pfingstmontag
H11	layt	4493	3.0709537361216284	20	151.9213253652625	arnold-der-pfingstmontag
H11	lez	4493	3.0709537361216284	21	151.9213253652625	arnold-der-pfingstmontag
H11	wuoi	4493	3.0709537361216284	22	151.9213253652625	arnold-der-pfingstmontag
H11	genn	4493	3.0640211429954345	23	151.9213253652625	arnold-der-pfingstmontag
H11	imme	4493	2.9843757007333185	24	151.9213253652625	arnold-der-pfingstmontag
H11	judde	4493	2.9843757007333185	25	151.9213253652625	arnold-der-pfingstmontag
H11	mukke	4493	2.9843757007333185	26	151.9213253652625	arnold-der-pfingstmontag
H11	prozeß	4493	2.9843757007333185	27	151.9213253652625	arnold-der-pfingstmontag
H11	simbaddie	4493	2.9843757007333185	28	151.9213253652625	arnold-der-pfingstmontag
H11	henn	4493	2.9759109656822256	29	151.9213253652625	arnold-der-pfingstmontag
H11	guet	4493	2.9270747273531934	30	151.9213253652625	arnold-der-pfingstmontag
H11	er	4493	2.905863803464522	31	151.9213253652625	arnold-der-pfingstmontag
H11	huen	4493	2.89521646071217	32	151.9213253652625	arnold-der-pfingstmontag
H11	mynthalwe	4493	2.89521646071217	33	151.9213253652625	arnold-der-pfingstmontag
H11	geträumt	4493	2.803229733694799	34	151.9213253652625	arnold-der-pfingstmontag
H11	gryddi	4493	2.803229733694799	35	151.9213253652625	arnold-der-pfingstmontag
H11	is	4493	2.803229733694799	36	151.9213253652625	arnold-der-pfingstmontag
H11	scheu	4493	2.803229733694799	37	151.9213253652625	arnold-der-pfingstmontag
H11	zierroth	4493	2.803229733694799	38	151.9213253652625	arnold-der-pfingstmontag
H11	duwe	4493	2.7081274113898	39	151.9213253652625	arnold-der-pfingstmontag
